index_set,subset,method,scale,top1_success,top3_success,top5_success,oracle,success_density,near_miss_count,fixed_vs_raw,harmed_vs_raw,net_vs_raw,both_success,both_fail
confirm50,added30,raw_moda,0.0,50.0,53.333333333333336,56.666666666666664,56.666666666666664,50.33333333333333,4,,,,,
confirm50,added30,residual_calibrated_cost,0.1,50.0,53.333333333333336,53.333333333333336,56.666666666666664,51.833333333333336,4,0,0,0,30,30
confirm50,added30,residual_calibrated_cost,0.2,50.0,53.333333333333336,55.0,56.666666666666664,50.66666666666667,4,0,0,0,30,30
confirm50,added30,residual_calibrated_cost,0.25,50.0,53.333333333333336,55.0,56.666666666666664,50.0,4,0,0,0,30,30
confirm50,added30,residual_calibrated_cost,0.3,50.0,53.333333333333336,55.0,56.666666666666664,50.0,4,0,0,0,30,30
confirm50,added30,residual_calibrated_cost,0.4,51.66666666666667,53.333333333333336,55.0,56.666666666666664,50.5,3,1,0,1,30,29
confirm50,added30,residual_calibrated_cost,0.5,51.66666666666667,53.333333333333336,55.0,56.666666666666664,50.5,3,1,0,1,30,29
confirm50,added30,residual_raw_cost,0.1,50.0,53.333333333333336,53.333333333333336,56.666666666666664,51.166666666666664,4,0,0,0,30,30
confirm50,added30,residual_raw_cost,0.2,50.0,53.333333333333336,55.0,56.666666666666664,50.66666666666667,4,0,0,0,30,30
confirm50,added30,residual_raw_cost,0.25,50.0,53.333333333333336,56.666666666666664,56.666666666666664,50.0,4,0,0,0,30,30
confirm50,added30,residual_raw_cost,0.3,50.0,53.333333333333336,56.666666666666664,56.666666666666664,50.33333333333333,4,0,0,0,30,30
confirm50,added30,residual_raw_cost,0.4,51.66666666666667,53.333333333333336,56.666666666666664,56.666666666666664,50.5,3,1,0,1,30,29
confirm50,added30,residual_raw_cost,0.5,51.66666666666667,53.333333333333336,56.666666666666664,56.666666666666664,50.33333333333333,3,1,0,1,30,29
confirm50,all50,raw_moda,0.0,46.0,56.00000000000001,60.0,60.0,50.2,14,,,,,
confirm50,all50,residual_calibrated_cost,0.1,48.0,55.0,57.0,60.0,51.1,12,2,0,2,46,52
confirm50,all50,residual_calibrated_cost,0.2,48.0,56.00000000000001,58.0,60.0,50.2,12,2,0,2,46,52
confirm50,all50,residual_calibrated_cost,0.25,49.0,56.00000000000001,59.0,60.0,50.1,11,3,0,3,46,51
confirm50,all50,residual_calibrated_cost,0.3,49.0,56.00000000000001,59.0,60.0,50.1,11,3,0,3,46,51
confirm50,all50,residual_calibrated_cost,0.4,50.0,56.00000000000001,59.0,60.0,50.2,10,4,0,4,46,50
confirm50,all50,residual_calibrated_cost,0.5,50.0,56.00000000000001,59.0,60.0,50.3,10,4,0,4,46,50
confirm50,all50,residual_raw_cost,0.1,46.0,56.00000000000001,57.0,60.0,50.6,14,0,0,0,46,54
confirm50,all50,residual_raw_cost,0.2,46.0,56.00000000000001,58.0,60.0,49.8,14,0,0,0,46,54
confirm50,all50,residual_raw_cost,0.25,46.0,56.00000000000001,60.0,60.0,49.8,14,0,0,0,46,54
confirm50,all50,residual_raw_cost,0.3,46.0,56.00000000000001,60.0,60.0,50.1,14,0,0,0,46,54
confirm50,all50,residual_raw_cost,0.4,47.0,56.00000000000001,60.0,60.0,50.3,13,1,0,1,46,53
confirm50,all50,residual_raw_cost,0.5,47.0,56.00000000000001,60.0,60.0,50.1,13,1,0,1,46,53
confirm50,first20,raw_moda,0.0,40.0,60.0,65.0,65.0,50.0,10,,,,,
confirm50,first20,residual_calibrated_cost,0.1,45.0,57.5,62.5,65.0,50.0,8,2,0,2,16,22
confirm50,first20,residual_calibrated_cost,0.2,45.0,60.0,62.5,65.0,49.5,8,2,0,2,16,22
confirm50,first20,residual_calibrated_cost,0.25,47.5,60.0,65.0,65.0,50.25,7,3,0,3,16,21
confirm50,first20,residual_calibrated_cost,0.3,47.5,60.0,65.0,65.0,50.25,7,3,0,3,16,21
confirm50,first20,residual_calibrated_cost,0.4,47.5,60.0,65.0,65.0,49.75,7,3,0,3,16,21
confirm50,first20,residual_calibrated_cost,0.5,47.5,60.0,65.0,65.0,50.0,7,3,0,3,16,21
confirm50,first20,residual_raw_cost,0.1,40.0,60.0,62.5,65.0,49.75,10,0,0,0,16,24
confirm50,first20,residual_raw_cost,0.2,40.0,60.0,62.5,65.0,48.5,10,0,0,0,16,24
confirm50,first20,residual_raw_cost,0.25,40.0,60.0,65.0,65.0,49.5,10,0,0,0,16,24
confirm50,first20,residual_raw_cost,0.3,40.0,60.0,65.0,65.0,49.75,10,0,0,0,16,24
confirm50,first20,residual_raw_cost,0.4,40.0,60.0,65.0,65.0,50.0,10,0,0,0,16,24
confirm50,first20,residual_raw_cost,0.5,40.0,60.0,65.0,65.0,49.75,10,0,0,0,16,24
medium20,medium20,raw_moda,0.0,60.0,65.0,70.0,75.0,56.99999999999999,6,,,,,
medium20,medium20,residual_calibrated_cost,0.25,62.5,65.0,70.0,75.0,57.49999999999999,5,1,0,1,24,15
medium20,medium20,residual_raw_cost,0.25,62.5,65.0,65.0,75.0,56.74999999999999,5,1,0,1,24,15
