method,scale,top1_success,oracle,success_density,near_miss_count
raw_moda,0.0,60.0,75.0,56.74999999999999,6
residual_calibrated_cost,0.25,65.0,72.5,57.49999999999999,3
residual_calibrated_cost,0.5,60.0,75.0,58.25,6
residual_calibrated_cost,1.0,60.0,75.0,56.74999999999999,6
residual_calibrated_cost,1.5,60.0,75.0,56.99999999999999,6
residual_raw_cost,0.25,62.5,75.0,57.24999999999999,5
residual_raw_cost,0.5,60.0,75.0,56.99999999999999,6
residual_raw_cost,1.0,60.0,72.5,56.74999999999999,5
residual_raw_cost,1.5,60.0,75.0,56.99999999999999,6
