split,score,first_success_rank,count
splitA_train42_44_val45_47,raw_stateroll_cost,1,165
splitA_train42_44_val45_47,raw_stateroll_cost,4,5
splitA_train42_44_val45_47,raw_stateroll_cost,6,3
splitA_train42_44_val45_47,raw_stateroll_cost,2,21
splitA_train42_44_val45_47,raw_stateroll_cost,26,2
splitA_train42_44_val45_47,raw_stateroll_cost,16,2
splitA_train42_44_val45_47,raw_stateroll_cost,22,1
splitA_train42_44_val45_47,raw_stateroll_cost,3,4
splitA_train42_44_val45_47,raw_stateroll_cost,5,7
splitA_train42_44_val45_47,raw_stateroll_cost,17,1
splitA_train42_44_val45_47,raw_stateroll_cost,11,3
splitA_train42_44_val45_47,raw_stateroll_cost,8,4
splitA_train42_44_val45_47,raw_stateroll_cost,10,3
splitA_train42_44_val45_47,raw_stateroll_cost,9,2
splitA_train42_44_val45_47,raw_stateroll_cost,13,1
splitA_train42_44_val45_47,raw_stateroll_cost,7,2
splitA_train42_44_val45_47,raw_stateroll_cost,12,1
splitA_train42_44_val45_47,raw_stateroll_cost,27,3
splitA_train42_44_val45_47,raw_stateroll_cost,28,1
splitA_train42_44_val45_47,raw_stateroll_cost,15,1
splitA_train42_44_val45_47,raw_stateroll_cost,14,1
splitA_train42_44_val45_47,raw_stateroll_cost,19,2
splitA_train42_44_val45_47,bce_calibrated_utility,1,164
splitA_train42_44_val45_47,bce_calibrated_utility,3,11
splitA_train42_44_val45_47,bce_calibrated_utility,9,4
splitA_train42_44_val45_47,bce_calibrated_utility,2,18
splitA_train42_44_val45_47,bce_calibrated_utility,10,1
splitA_train42_44_val45_47,bce_calibrated_utility,26,2
splitA_train42_44_val45_47,bce_calibrated_utility,5,5
splitA_train42_44_val45_47,bce_calibrated_utility,4,7
splitA_train42_44_val45_47,bce_calibrated_utility,7,7
splitA_train42_44_val45_47,bce_calibrated_utility,8,2
splitA_train42_44_val45_47,bce_calibrated_utility,16,1
splitA_train42_44_val45_47,bce_calibrated_utility,21,1
splitA_train42_44_val45_47,bce_calibrated_utility,12,3
splitA_train42_44_val45_47,bce_calibrated_utility,6,2
splitA_train42_44_val45_47,bce_calibrated_utility,25,1
splitA_train42_44_val45_47,bce_calibrated_utility,22,1
splitA_train42_44_val45_47,bce_calibrated_utility,17,2
splitA_train42_44_val45_47,bce_calibrated_utility,14,1
splitA_train42_44_val45_47,bce_calibrated_utility,18,1
splitA_train42_44_val45_47,bce_calibrated_utility,30,1
splitA_train42_44_val45_47,rank_preserve_utility,1,167
splitA_train42_44_val45_47,rank_preserve_utility,4,9
splitA_train42_44_val45_47,rank_preserve_utility,6,2
splitA_train42_44_val45_47,rank_preserve_utility,2,18
splitA_train42_44_val45_47,rank_preserve_utility,5,10
splitA_train42_44_val45_47,rank_preserve_utility,28,1
splitA_train42_44_val45_47,rank_preserve_utility,21,2
splitA_train42_44_val45_47,rank_preserve_utility,3,6
splitA_train42_44_val45_47,rank_preserve_utility,16,3
splitA_train42_44_val45_47,rank_preserve_utility,8,2
splitA_train42_44_val45_47,rank_preserve_utility,22,1
splitA_train42_44_val45_47,rank_preserve_utility,13,4
splitA_train42_44_val45_47,rank_preserve_utility,11,2
splitA_train42_44_val45_47,rank_preserve_utility,9,1
splitA_train42_44_val45_47,rank_preserve_utility,10,1
splitA_train42_44_val45_47,rank_preserve_utility,19,2
splitA_train42_44_val45_47,rank_preserve_utility,7,1
splitA_train42_44_val45_47,rank_preserve_utility,18,1
splitA_train42_44_val45_47,rank_preserve_utility,12,1
splitA_train42_44_val45_47,rank_preserve_utility,30,1
splitA_train42_44_val45_47,localized_raw_cost_score,1,165
splitA_train42_44_val45_47,localized_raw_cost_score,4,5
splitA_train42_44_val45_47,localized_raw_cost_score,6,3
splitA_train42_44_val45_47,localized_raw_cost_score,2,21
splitA_train42_44_val45_47,localized_raw_cost_score,26,2
splitA_train42_44_val45_47,localized_raw_cost_score,16,2
splitA_train42_44_val45_47,localized_raw_cost_score,22,1
splitA_train42_44_val45_47,localized_raw_cost_score,3,4
splitA_train42_44_val45_47,localized_raw_cost_score,5,7
splitA_train42_44_val45_47,localized_raw_cost_score,17,1
splitA_train42_44_val45_47,localized_raw_cost_score,11,3
splitA_train42_44_val45_47,localized_raw_cost_score,8,4
splitA_train42_44_val45_47,localized_raw_cost_score,10,3
splitA_train42_44_val45_47,localized_raw_cost_score,9,2
splitA_train42_44_val45_47,localized_raw_cost_score,13,1
splitA_train42_44_val45_47,localized_raw_cost_score,7,2
splitA_train42_44_val45_47,localized_raw_cost_score,12,1
splitA_train42_44_val45_47,localized_raw_cost_score,27,3
splitA_train42_44_val45_47,localized_raw_cost_score,28,1
splitA_train42_44_val45_47,localized_raw_cost_score,15,1
splitA_train42_44_val45_47,localized_raw_cost_score,14,1
splitA_train42_44_val45_47,localized_raw_cost_score,19,2
splitA_train42_44_val45_47,selector_v3_balanced_score,1,165
splitA_train42_44_val45_47,selector_v3_balanced_score,4,5
splitA_train42_44_val45_47,selector_v3_balanced_score,6,3
splitA_train42_44_val45_47,selector_v3_balanced_score,2,21
splitA_train42_44_val45_47,selector_v3_balanced_score,26,2
splitA_train42_44_val45_47,selector_v3_balanced_score,16,2
splitA_train42_44_val45_47,selector_v3_balanced_score,22,1
splitA_train42_44_val45_47,selector_v3_balanced_score,3,4
splitA_train42_44_val45_47,selector_v3_balanced_score,5,7
splitA_train42_44_val45_47,selector_v3_balanced_score,17,1
splitA_train42_44_val45_47,selector_v3_balanced_score,11,3
splitA_train42_44_val45_47,selector_v3_balanced_score,8,4
splitA_train42_44_val45_47,selector_v3_balanced_score,10,3
splitA_train42_44_val45_47,selector_v3_balanced_score,9,2
splitA_train42_44_val45_47,selector_v3_balanced_score,13,1
splitA_train42_44_val45_47,selector_v3_balanced_score,7,2
splitA_train42_44_val45_47,selector_v3_balanced_score,12,1
splitA_train42_44_val45_47,selector_v3_balanced_score,27,3
splitA_train42_44_val45_47,selector_v3_balanced_score,28,1
splitA_train42_44_val45_47,selector_v3_balanced_score,15,1
splitA_train42_44_val45_47,selector_v3_balanced_score,14,1
splitA_train42_44_val45_47,selector_v3_balanced_score,19,2
splitB_train45_47_val42_44,raw_stateroll_cost,1,167
splitB_train45_47_val42_44,raw_stateroll_cost,16,2
splitB_train45_47_val42_44,raw_stateroll_cost,11,2
splitB_train45_47_val42_44,raw_stateroll_cost,5,4
splitB_train45_47_val42_44,raw_stateroll_cost,8,7
splitB_train45_47_val42_44,raw_stateroll_cost,3,10
splitB_train45_47_val42_44,raw_stateroll_cost,2,11
splitB_train45_47_val42_44,raw_stateroll_cost,10,1
splitB_train45_47_val42_44,raw_stateroll_cost,29,4
splitB_train45_47_val42_44,raw_stateroll_cost,4,3
splitB_train45_47_val42_44,raw_stateroll_cost,7,3
splitB_train45_47_val42_44,raw_stateroll_cost,15,2
splitB_train45_47_val42_44,raw_stateroll_cost,22,2
splitB_train45_47_val42_44,raw_stateroll_cost,21,1
splitB_train45_47_val42_44,raw_stateroll_cost,24,1
splitB_train45_47_val42_44,raw_stateroll_cost,25,2
splitB_train45_47_val42_44,raw_stateroll_cost,14,2
splitB_train45_47_val42_44,raw_stateroll_cost,28,1
splitB_train45_47_val42_44,raw_stateroll_cost,9,4
splitB_train45_47_val42_44,raw_stateroll_cost,6,3
splitB_train45_47_val42_44,raw_stateroll_cost,27,1
splitB_train45_47_val42_44,raw_stateroll_cost,13,1
splitB_train45_47_val42_44,raw_stateroll_cost,17,1
splitB_train45_47_val42_44,bce_calibrated_utility,1,166
splitB_train45_47_val42_44,bce_calibrated_utility,11,1
splitB_train45_47_val42_44,bce_calibrated_utility,14,3
splitB_train45_47_val42_44,bce_calibrated_utility,5,11
splitB_train45_47_val42_44,bce_calibrated_utility,2,9
splitB_train45_47_val42_44,bce_calibrated_utility,12,3
splitB_train45_47_val42_44,bce_calibrated_utility,7,2
splitB_train45_47_val42_44,bce_calibrated_utility,3,11
splitB_train45_47_val42_44,bce_calibrated_utility,4,5
splitB_train45_47_val42_44,bce_calibrated_utility,15,3
splitB_train45_47_val42_44,bce_calibrated_utility,8,3
splitB_train45_47_val42_44,bce_calibrated_utility,23,1
splitB_train45_47_val42_44,bce_calibrated_utility,27,1
splitB_train45_47_val42_44,bce_calibrated_utility,6,3
splitB_train45_47_val42_44,bce_calibrated_utility,20,1
splitB_train45_47_val42_44,bce_calibrated_utility,25,2
splitB_train45_47_val42_44,bce_calibrated_utility,18,1
splitB_train45_47_val42_44,bce_calibrated_utility,16,2
splitB_train45_47_val42_44,bce_calibrated_utility,28,1
splitB_train45_47_val42_44,bce_calibrated_utility,10,4
splitB_train45_47_val42_44,bce_calibrated_utility,19,1
splitB_train45_47_val42_44,bce_calibrated_utility,26,1
splitB_train45_47_val42_44,rank_preserve_utility,1,171
splitB_train45_47_val42_44,rank_preserve_utility,11,3
splitB_train45_47_val42_44,rank_preserve_utility,13,2
splitB_train45_47_val42_44,rank_preserve_utility,5,7
splitB_train45_47_val42_44,rank_preserve_utility,10,3
splitB_train45_47_val42_44,rank_preserve_utility,8,2
splitB_train45_47_val42_44,rank_preserve_utility,2,9
splitB_train45_47_val42_44,rank_preserve_utility,6,5
splitB_train45_47_val42_44,rank_preserve_utility,15,2
splitB_train45_47_val42_44,rank_preserve_utility,23,1
splitB_train45_47_val42_44,rank_preserve_utility,28,2
splitB_train45_47_val42_44,rank_preserve_utility,4,5
splitB_train45_47_val42_44,rank_preserve_utility,7,3
splitB_train45_47_val42_44,rank_preserve_utility,3,6
splitB_train45_47_val42_44,rank_preserve_utility,20,1
splitB_train45_47_val42_44,rank_preserve_utility,27,2
splitB_train45_47_val42_44,rank_preserve_utility,24,1
splitB_train45_47_val42_44,rank_preserve_utility,18,2
splitB_train45_47_val42_44,rank_preserve_utility,12,2
splitB_train45_47_val42_44,rank_preserve_utility,9,2
splitB_train45_47_val42_44,rank_preserve_utility,22,2
splitB_train45_47_val42_44,rank_preserve_utility,25,1
splitB_train45_47_val42_44,rank_preserve_utility,17,1
splitB_train45_47_val42_44,localized_raw_cost_score,1,167
splitB_train45_47_val42_44,localized_raw_cost_score,16,2
splitB_train45_47_val42_44,localized_raw_cost_score,11,2
splitB_train45_47_val42_44,localized_raw_cost_score,5,4
splitB_train45_47_val42_44,localized_raw_cost_score,8,7
splitB_train45_47_val42_44,localized_raw_cost_score,3,10
splitB_train45_47_val42_44,localized_raw_cost_score,2,11
splitB_train45_47_val42_44,localized_raw_cost_score,10,1
splitB_train45_47_val42_44,localized_raw_cost_score,29,4
splitB_train45_47_val42_44,localized_raw_cost_score,4,3
splitB_train45_47_val42_44,localized_raw_cost_score,7,3
splitB_train45_47_val42_44,localized_raw_cost_score,15,2
splitB_train45_47_val42_44,localized_raw_cost_score,22,2
splitB_train45_47_val42_44,localized_raw_cost_score,21,1
splitB_train45_47_val42_44,localized_raw_cost_score,24,1
splitB_train45_47_val42_44,localized_raw_cost_score,25,2
splitB_train45_47_val42_44,localized_raw_cost_score,14,2
splitB_train45_47_val42_44,localized_raw_cost_score,28,1
splitB_train45_47_val42_44,localized_raw_cost_score,9,4
splitB_train45_47_val42_44,localized_raw_cost_score,6,3
splitB_train45_47_val42_44,localized_raw_cost_score,27,1
splitB_train45_47_val42_44,localized_raw_cost_score,13,1
splitB_train45_47_val42_44,localized_raw_cost_score,17,1
splitB_train45_47_val42_44,selector_v3_balanced_score,1,167
splitB_train45_47_val42_44,selector_v3_balanced_score,16,2
splitB_train45_47_val42_44,selector_v3_balanced_score,11,2
splitB_train45_47_val42_44,selector_v3_balanced_score,5,4
splitB_train45_47_val42_44,selector_v3_balanced_score,8,7
splitB_train45_47_val42_44,selector_v3_balanced_score,3,10
splitB_train45_47_val42_44,selector_v3_balanced_score,2,11
splitB_train45_47_val42_44,selector_v3_balanced_score,10,1
splitB_train45_47_val42_44,selector_v3_balanced_score,29,4
splitB_train45_47_val42_44,selector_v3_balanced_score,4,3
splitB_train45_47_val42_44,selector_v3_balanced_score,7,3
splitB_train45_47_val42_44,selector_v3_balanced_score,15,2
splitB_train45_47_val42_44,selector_v3_balanced_score,22,2
splitB_train45_47_val42_44,selector_v3_balanced_score,21,1
splitB_train45_47_val42_44,selector_v3_balanced_score,24,1
splitB_train45_47_val42_44,selector_v3_balanced_score,25,2
splitB_train45_47_val42_44,selector_v3_balanced_score,14,2
splitB_train45_47_val42_44,selector_v3_balanced_score,28,1
splitB_train45_47_val42_44,selector_v3_balanced_score,9,4
splitB_train45_47_val42_44,selector_v3_balanced_score,6,3
splitB_train45_47_val42_44,selector_v3_balanced_score,27,1
splitB_train45_47_val42_44,selector_v3_balanced_score,13,1
splitB_train45_47_val42_44,selector_v3_balanced_score,17,1
