method,score_family,episodes,top1_success,top3_success,top5_success,top10_success,top30_success,candidate_auc_mean,first_success_rank_mean,near_miss_count
raw_stateroll_cost,raw_cost,600,55.333333333333336,63.0,66.16666666666666,71.5,78.33333333333333,0.4939458824698858,3.376595744680851,138
bce,BCE calibrated utility,600,54.166666666666664,63.16666666666667,68.16666666666666,73.33333333333333,78.33333333333333,0.6878328878880636,2.9957446808510637,145
bce_pairwise,BCE + pairwise utility,600,56.00000000000001,62.5,66.5,71.16666666666667,78.33333333333333,0.6824241949283482,3.2702127659574467,134
bce_listwise,BCE + listwise utility,600,54.0,65.66666666666666,69.16666666666667,73.83333333333333,78.33333333333333,0.6912227857372659,2.7425531914893617,146
bce_preserve,BCE + preserve utility,600,50.0,66.33333333333333,71.83333333333334,75.5,78.33333333333333,0.6796774465210995,2.470212765957447,170
bce_pairwise_preserve,BCE + pairwise + preserve utility,600,56.00000000000001,62.83333333333333,67.5,72.5,78.33333333333333,0.6829386948517215,3.0829787234042554,134
bce_listwise_preserve,BCE + listwise + preserve utility,600,51.5,66.5,71.0,75.16666666666667,78.33333333333333,0.6851840542859159,2.529787234042553,161
bce_pairwise_listwise,BCE + pairwise + listwise utility,600,56.00000000000001,62.66666666666667,67.83333333333331,72.00000000000001,78.33333333333333,0.6918172175348499,3.0999999999999996,134
full_bce_pairwise_listwise_preserve,full BCE + pairwise + listwise + preserve utility,600,56.333333333333336,63.5,68.83333333333334,72.33333333333334,78.33333333333333,0.6896718879435253,2.974468085106383,132
legacy_rank_combined,rank-preserve utility,600,56.333333333333336,62.83333333333333,68.0,71.66666666666667,78.33333333333333,0.5721924722514817,3.1106382978723404,132
