split,seed,episode,fixed,missed,bsl_success,stateroll_only_fixable,success_count,raw_first_success_rank,cal_first_success_rank,selected_rank,selected_success,selected_score,threshold,top2_has_success,top3_has_success,raw_selected_rank,raw_selected_success
splitA_train42_44_val45_47,45,16,True,False,False,False,7,1,1,0,True,0.6668181968567994,-2.596773,True,True,0,True
splitA_train42_44_val45_47,45,77,True,False,False,True,25,1,1,0,True,4.443244291363455,-2.596773,True,True,0,True
splitA_train42_44_val45_47,45,87,True,False,False,True,17,1,1,25,True,1.848121880253583,-2.596773,True,True,0,True
splitA_train42_44_val45_47,45,88,True,False,False,True,29,1,1,0,True,5.104873244382942,-2.596773,True,True,0,True
splitA_train42_44_val45_47,45,89,True,False,False,False,18,1,1,27,True,0.8312656851558564,-2.596773,True,True,0,True
splitA_train42_44_val45_47,45,96,False,True,False,True,3,9,22,25,False,1.1172247181672872,-2.596773,False,False,0,False
splitA_train42_44_val45_47,46,19,False,True,False,True,4,8,21,0,False,1.2977085563533248,-2.596773,False,False,0,False
splitA_train42_44_val45_47,46,31,True,False,False,False,18,1,1,27,True,-0.06404535610791896,-2.596773,True,True,0,True
splitA_train42_44_val45_47,46,37,True,False,False,True,28,1,1,0,True,2.857122965777586,-2.596773,True,True,0,True
splitA_train42_44_val45_47,47,6,False,True,False,True,3,11,8,0,False,3.885848568986256,-2.596773,False,False,0,False
splitA_train42_44_val45_47,47,50,True,False,False,True,22,1,1,26,True,4.175958096446386,-2.596773,True,True,0,True
splitA_train42_44_val45_47,47,88,False,True,False,True,1,9,30,0,False,3.2341857311662228,-2.596773,False,False,0,False
splitA_train42_44_val45_47,47,91,False,True,False,True,1,27,5,0,False,1.911427232231723,-2.596773,False,False,0,False
splitA_train42_44_val45_47,47,93,False,True,False,True,14,3,5,9,False,2.7341783216521947,-2.596773,False,False,0,False
splitB_train45_47_val42_44,42,51,False,True,False,True,1,7,7,0,False,0.6432707355165346,-2.101803,False,False,0,False
splitB_train45_47_val42_44,42,58,False,True,False,True,4,15,6,0,False,3.3106020258346147,-2.101803,False,False,0,False
splitB_train45_47_val42_44,43,34,True,False,False,False,27,1,1,0,True,1.8119141326448351,-2.101803,True,True,0,True
splitB_train45_47_val42_44,43,46,True,False,False,True,26,1,1,0,True,1.2813358344512682,-2.101803,True,True,0,True
splitB_train45_47_val42_44,43,63,True,False,False,True,12,1,1,0,True,4.129922670999038,-2.101803,True,True,0,True
splitB_train45_47_val42_44,43,98,False,True,False,True,3,14,13,1,False,2.966840730353453,-2.101803,False,False,0,False
splitB_train45_47_val42_44,44,3,True,False,False,False,27,1,1,0,True,1.8065974862547083,-2.101803,True,True,0,True
splitB_train45_47_val42_44,44,19,True,False,False,False,16,1,1,0,True,0.6316497360421358,-2.101803,True,True,0,True
splitB_train45_47_val42_44,44,74,True,False,False,True,6,1,1,0,True,2.6992261007393306,-2.101803,True,True,0,True
splitB_train45_47_val42_44,44,92,True,False,False,True,15,1,1,0,True,3.3597768131624277,-2.101803,True,True,0,True
